,NameLength,HasSubtitle,DescripLength,iap_none,iap_1.99,iap_0.99,iap_29.99,lang_ja,lang_gu,genr_entertainment,genr_casual,genr_simulation,User Rating Count,Size,Target
0,6.0,0.0,1617.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3553.0,15853568.0,0.0
1,7.0,0.0,1222.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,284.0,12328960.0,0.0
2,7.0,0.0,582.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8376.0,674816.0,0.0
3,13.0,0.0,1675.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,190394.0,21552128.0,0.0
4,12.0,0.0,2076.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,28.0,34689024.0,0.0
5,30.0,1.0,2255.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,47.0,48672768.0,0.0
7,6.0,0.0,826.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,125.0,64333824.0,0.0
8,5.0,0.0,430.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,44.0,2657280.0,0.0
9,16.0,0.0,562.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,184.0,1466515.0,0.0
11,10.0,0.0,591.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5072.0,7086403.0,0.0
12,9.0,0.0,649.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,526.0,845008.0,0.0
13,6.0,0.0,1456.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,989.0,3643392.0,0.0
14,13.0,0.0,971.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2358.0,731525.0,0.0
15,24.0,0.0,618.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,112.0,122826752.0,0.0
17,10.0,0.0,566.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,504.0,444163.0,0.0
18,12.0,0.0,794.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,95971.0,26820692.0,0.0
19,27.0,1.0,1039.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,357.0,52236288.0,0.0
20,16.0,0.0,652.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,7.0,1530880.0,0.0
21,15.0,0.0,774.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,30.0,4341760.0,0.0
24,9.0,0.0,322.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,637.0,22873088.0,0.0
25,9.0,0.0,1797.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1563.0,6550985.0,0.0
26,12.0,0.0,1983.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,41869.0,75041792.0,0.0
27,30.0,1.0,856.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,72428.0,55071744.0,0.0
28,14.0,0.0,892.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,190.0,4357120.0,0.0
29,11.0,0.0,2341.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,69.0,44329984.0,0.0
30,13.0,0.0,1869.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,523.0,9543680.0,0.0
31,8.0,0.0,726.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,1298432.0,0.0
